・0157

◆ バクフーンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
なみだめ	ノーマル	変化	-	-	20	×	相手の『こうげき』『とくこう』ランクを1段階ずつ下げる。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。
なかまづくり	ノーマル	変化	-	100	16	×	相手の特性を自分と同じ特性にする。ダイマックスしている相手には無効。
てだすけ	ノーマル	変化	-	-	20	×	必ず先制できる(優先度:+5)。使用したターンの間、味方の技の威力を1.5倍にする。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
タネばくだん	くさ	物理	80	100	16	×	通常攻撃。
くさわけ	くさ	物理	50	100	20	○	100%の確率で自分の『すばやさ』ランクが1段階上がる。
くさむすび	くさ	特殊	-	100	20	○	相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、200kg未満は100、それ以上は120。ダイマックスしている相手には無効。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
あまごい	みず	変化	-	-	8	×	5ターンの間、天気を『あめ』にする。『みず』タイプの技のダメージが1.5倍になり、『ほのお』タイプの技のダメージが半減する。
ワイルドボルト	でんき	物理	90	100	16	○	相手に与えたダメージの1/4を自分も受ける。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
ほっぺすりすり	でんき	物理	20	100	20	○	100%の確率で相手を『まひ』状態にする。
かみなり	でんき	特殊	110	70	12	×	30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
10まんボルト	でんき	特殊	90	100	16	×	10%の確率で相手を『まひ』状態にする。
ほうでん	でんき	特殊	80	100	16	×	自分以外全員が対象。30%の確率で相手を『まひ』状態にする。
ライジングボルト	でんき	特殊	70	100	20	×	場の状態が『エレキフィールド』で、なおかつ相手が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が2倍になる(自分も地面にいれば、フィールドの1.3倍の効果もさらに加わる)。
ボルトチェンジ	でんき	特殊	70	100	20	×	攻撃後、手持ちのポケモンと入れ替わる。
パラボラチャージ	でんき	特殊	65	100	20	×	自分以外全員が対象。相手に与えたダメージの半分だけ自分のHPが回復する。
エレキネット	でんき	特殊	55	95	16	×	相手全体が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。
チャージビーム	でんき	特殊	50	90	12	×	70%の確率で自分の『とくこう』ランクが1段階上がる。
エレキボール	でんき	特殊	-	100	12	×	相手より『すばやさ』が高いほど威力が高くなる。1倍未満は40、2倍未満は60、3倍未満は80、4倍未満は120、それ以上は150。
エレキフィールド	でんき	変化	-	-	12	×	5ターンの間、場の状態を『エレキフィールド』にする。『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、『ねむり』『ねむけ』(『あくび』)状態にならず、また『でんき』タイプの技の威力が1.3倍になる(第7世代までは1.5倍)。すでに『ねむり』状態の場合は回復しない。また、道具『エレキシード』を持ったポケモンは『ぼうぎょ』ランクが1段階上がる(この効果は、地面にいないポケモンでも発動する)。
かいでんぱ	でんき	変化	-	100	16	×	相手の『とくこう』ランクを2段階下げる。
でんじふゆう	でんき	変化	-	-	12	×	5ターンの間、『ふゆう』と同じ『でんじふゆう』状態となり、『じめん』タイプの技や、『まきびし』『どくびし』『ねばねばネット』、『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』などの効果を受けなくなる。
じゅうでん	でんき	変化	-	-	20	×	でんき威力アップ状態になり、一度だけ次回使う自分の『でんき』タイプの技の威力が2倍になる(第8世代までは次のターンまでだけ)。また、自分の『とくぼう』ランクが1段階上がる。
でんじは	でんき	変化	-	90	20	×	相手を『まひ』状態にする。『じめん』タイプや『でんき』タイプには無効。
とんぼがえり	むし	物理	70	100	20	○	攻撃後、手持ちのポケモンと入れ替わる。
あなをほる	じめん	物理	80	100	12	○	1ターン目に地中に潜り、2ターン目に攻撃する。地中にいる間は『じしん』『マグニチュード』以外の技を受けない。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
ひかりのかべ	エスパー	変化	-	-	20	×	5ターンの間、相手の特殊攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。急所に当たった場合は軽減されない。交代しても効果は続く。
こうそくいどう	エスパー	変化	-	-	20	×	自分の『すばやさ』ランクが2段階上がる。
どろぼう	あく	物理	60	100	20	○	相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。トレーナー戦の場合はバトル終了後になくなる。
なげつける	あく	物理	-	100	12	×	自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
アイアンテール	はがね	物理	100	75	16	○	30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
じゃれつく	フェアリー	物理	90	90	12	○	10%の確率で相手の『こうげき』ランクを1段階下げる。
マジカルシャイン	フェアリー	特殊	80	100	12	×	相手全体が対象。通常攻撃。
ドレインキッス	フェアリー	特殊	50	100	12	○	相手に与えたダメージの3/4だけ自分のHPが回復する。
ミストフィールド	フェアリー	変化	-	-	12	×	5ターンの間、場の状態を『ミストフィールド』にする。『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、状態異常にならず、また『ドラゴン』タイプの技の威力が半減する。すでに状態異常の場合は回復しない。また、道具『ミストシード』を持ったポケモンは『とくぼう』ランクが1段階上がる(この効果は、地面にいないポケモンでも発動する)。
あまえる	フェアリー	変化	-	100	20	×	相手の『こうげき』ランクを2段階下げる。

・0706

◆ ヌメルゴンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
メガトンキック	ノーマル	物理	120	75	8	○	通常攻撃。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
フェイント	ノーマル	物理	30	100	12	×	必ず先制できる(優先度:+2)。相手が技『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』『ファストガード』『ワイドガード』をしている場合は、その効果を解除して攻撃できる(使用していない場合は通常攻撃)。『ダイウォール』は解除はできないが、貫通する。
じたばた	ノーマル	物理	-	100	16	○	自分の残りHPが少ないほど威力が高くなる。(威力は20~200)
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
ウェザーボール	ノーマル	特殊	50	100	12	×	天気が『にほんばれ』の時は『ほのお』タイプ、『あめ』の時は『みず』タイプ、『ゆき』の時は『こおり』タイプ、『すなあらし』の時は『いわ』タイプになり、威力が2倍になる。ダイマックス技や第7世代のZワザもタイプが変わる。
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
なみだめ	ノーマル	変化	-	-	20	×	相手の『こうげき』『とくこう』ランクを1段階ずつ下げる。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
パワーウィップ	くさ	物理	120	85	12	○	通常攻撃。
ギガドレイン	くさ	特殊	75	100	12	×	相手に与えたダメージの半分だけ自分のHPが回復する。
ほのおのパンチ	ほのお	物理	75	100	16	○	10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
だいもんじ	ほのお	特殊	110	85	8	×	10%の確率で相手を『やけど』状態にする。
かえんほうしゃ	ほのお	特殊	90	100	16	×	10%の確率で相手を『やけど』状態にする。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
アクアテール	みず	物理	90	90	12	○	通常攻撃。
ハイドロポンプ	みず	特殊	110	80	8	×	通常攻撃。
だくりゅう	みず	特殊	90	85	12	×	相手全体が対象。30%の確率で相手の命中率を1段階下げる。
なみのり	みず	特殊	90	100	16	×	自分以外全員が対象。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
ねっとう	みず	特殊	80	100	16	×	30%の確率で相手を『やけど』状態にする。自分が『こおり』状態の時でも使う事ができ、使うと『こおり』状態が治る。また、相手の『こおり』状態を治す。
みずのはどう	みず	特殊	60	100	20	×	20%の確率で相手を1~4ターンの間『こんらん』状態にする。
ひやみず	みず	特殊	50	100	20	×	100%の確率で相手の『こうげき』ランクを1段階下げる。
いのちのしずく	みず	変化	-	-	12	×	自分と味方全体のHPをそれぞれ最大HPの1/4ずつ回復する。特性『ちょすい』『よびみず』の味方は特性が発動するため、この技の効果は無効。この技は『ダイウォール』の効果も受けない。
あまごい	みず	変化	-	-	8	×	5ターンの間、天気を『あめ』にする。『みず』タイプの技のダメージが1.5倍になり、『ほのお』タイプの技のダメージが半減する。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
かみなり	でんき	特殊	110	70	12	×	30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
10まんボルト	でんき	特殊	90	100	16	×	10%の確率で相手を『まひ』状態にする。
はいよるいちげき	むし	物理	70	90	12	○	100%の確率で、相手の『とくこう』ランクを1段階下げる
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
ヘドロウェーブ	どく	特殊	95	100	12	×	自分以外全員が対象。10%の確率で相手を『どく』状態にする。
ヘドロばくだん	どく	特殊	90	100	12	×	30%の確率で相手を『どく』状態にする。
アシッドボム	どく	特殊	40	100	20	×	100%の確率で相手の『とくぼう』ランクを2段階下げる。
とける	どく	変化	-	-	20	×	自分の『ぼうぎょ』ランクを2段階上げる。
どくどく	どく	変化	-	90	12	×	相手を『もうどく』状態にする。『もうどく』状態は通常の『どく』状態と違い、受けるダメージが1/16、2/16、3/16・・・と増えていく。『どく』タイプのポケモンが使うと必ず命中する。『どく』タイプや『はがね』タイプには無効。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
じだんだ	じめん	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
マッドショット	じめん	特殊	55	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
ふぶき	こおり	特殊	110	70	8	×	相手全体が対象。10%の確率で相手を『こおり』状態にする。天気が『ゆき』の時は必ず命中する。
れいとうビーム	こおり	特殊	90	100	12	×	10%の確率で相手を『こおり』状態にする。
きあいパンチ	かくとう	物理	150	100	20	○	必ず後攻になり(優先度:-3)、攻撃するまでに技を受けると失敗してしまう。特性『てつのこぶし』の時、威力が1.2倍になる。
ばかぢから	かくとう	物理	120	100	8	○	攻撃後、自分の『こうげき』『ぼうぎょ』ランクが1段階ずつ下がる。
ボディプレス	かくとう	物理	80	100	12	○	『こうげき』ではなく、自分の『ぼうぎょ』と『ぼうぎょ』ランクを『こうげき』の数値にしてダメージ計算する。
カウンター	かくとう	物理	-	100	20	○	相手の物理攻撃のダメージの2倍をその相手に与える。『ダブルバトル』の時は最後に受けた技のみ有効になる。必ず後攻になる(優先度:-5)。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
きあいだま	かくとう	特殊	120	70	8	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
のろい	ゴースト	変化	-	-	12	×	自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。
げきりん	ドラゴン	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
ドラゴンクロー	ドラゴン	物理	80	100	16	○	通常攻撃。
ワイドブレイカー	ドラゴン	物理	60	100	16	○	相手全体が対象。100%の確率で相手の『こうげき』ランクを1段階下げる。
ドラゴンテール	ドラゴン	物理	60	90	12	○	必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
りゅうせいぐん	ドラゴン	特殊	130	90	8	×	攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
りゅうのはどう	ドラゴン	特殊	85	100	12	×	通常攻撃。
ドラゴンエール	ドラゴン	変化	-	-	16	×	自分を除く味方全体を『きゅうしょアップ』状態(急所ランク1段階)にして、今後使う技が急所に当たりやすくなる(すでに『きゅうしょアップ』状態の時は失敗する)。対象の味方が『ドラゴン』タイプの場合は、2段階上がる。音系の技。
はたきおとす	あく	物理	65	100	20	○	相手が道具を持っている場合、威力が1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
ぶんまわす	あく	物理	60	100	20	○	自分以外全員が対象。通常攻撃。
ダメおし	あく	物理	60	100	12	○	そのターン、相手が既にダメージを受けている時、威力が2倍になる。
アイアンテール	はがね	物理	100	75	16	○	30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
あまえる	フェアリー	変化	-	100	20	×	相手の『こうげき』ランクを2段階下げる。

・0706A

◆ ヒスイヌメルゴンが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
のしかかり	ノーマル	物理	85	100	16	○	30%の確率で相手を『まひ』状態にする。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
フェイント	ノーマル	物理	30	100	12	×	必ず先制できる(優先度:+2)。相手が技『まもる』『みきり』『たたみがえし』『トーチカ』『キングシールド』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』『ファストガード』『ワイドガード』をしている場合は、その効果を解除して攻撃できる(使用していない場合は通常攻撃)。『ダイウォール』は解除はできないが、貫通する。
じたばた	ノーマル	物理	-	100	16	○	自分の残りHPが少ないほど威力が高くなる。(威力は20~200)
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
ウェザーボール	ノーマル	特殊	50	100	12	×	天気が『にほんばれ』の時は『ほのお』タイプ、『あめ』の時は『みず』タイプ、『ゆき』の時は『こおり』タイプ、『すなあらし』の時は『いわ』タイプになり、威力が2倍になる。ダイマックス技や第7世代のZワザもタイプが変わる。
なみだめ	ノーマル	変化	-	-	20	×	相手の『こうげき』『とくこう』ランクを1段階ずつ下げる。自分の命中率、相手の回避率に関係なく必ず命中する。相手の『まもる』『みきり』『トーチカ』『ニードルガード』『ブロッキング』『スレッドトラップ』『かえんのまもり』の効果を受けない(『ダイウォール』を除く)。
ねごと	ノーマル	変化	-	-	12	×	自分が『ねむり』状態の時のみ使用可能。自分の持っている技のうち1つをランダムで使う。PPが減少するのはこの技のみ。
こらえる	ノーマル	変化	-	-	12	×	必ず先制できる(優先度:+4)。そのターンに『ひんし』状態になる攻撃を受けてもHPが1残る。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。
こわいかお	ノーマル	変化	-	100	12	×	相手の『すばやさ』ランクを2段階下げる。
まもる	ノーマル	変化	-	-	8	×	必ず先制でき(優先度:+4)、そのターンの間、相手の技を受けない。連続で使うと失敗しやすくなる。具体的には、最初は成功するが、使う度に成功率が1/3になっていく(失敗するとリセットされる)。ダイマックス技や第7世代のZワザの攻撃技は貫通し、1/4のダメージを受ける。
みがわり	ノーマル	変化	-	-	12	×	自分のHPを最大HPの1/4だけ減らして、減らしたHPと同じHPの自分の分身を作り、分身のHPが0になるまですべての攻撃を自分の代わりに分身が受ける。分身は状態異常にならない。ただし、音系の技などはそのまま受ける。相手のダイマックス技も防げるが、自分がダイマックスすると分身が消える。
ほのおのパンチ	ほのお	物理	75	100	16	○	10%の確率で相手を『やけど』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
だいもんじ	ほのお	特殊	110	85	8	×	10%の確率で相手を『やけど』状態にする。
かえんほうしゃ	ほのお	特殊	90	100	16	×	10%の確率で相手を『やけど』状態にする。
にほんばれ	ほのお	変化	-	-	8	×	5ターンの間、天気を『にほんばれ』にする。『ほのお』タイプの技のダメージが1.5倍になり、『みず』タイプの技のダメージが半減する。『こおり』状態にならない。
ハイドロポンプ	みず	特殊	110	80	8	×	通常攻撃。
だくりゅう	みず	特殊	90	85	12	×	相手全体が対象。30%の確率で相手の命中率を1段階下げる。
なみのり	みず	特殊	90	100	16	×	自分以外全員が対象。相手が『ダイビング』を使っている時でも命中し、ダメージが2倍になる。
みずのはどう	みず	特殊	60	100	20	×	20%の確率で相手を1~4ターンの間『こんらん』状態にする。
ひやみず	みず	特殊	50	100	20	×	100%の確率で相手の『こうげき』ランクを1段階下げる。
いのちのしずく	みず	変化	-	-	12	×	自分と味方全体のHPをそれぞれ最大HPの1/4ずつ回復する。特性『ちょすい』『よびみず』の味方は特性が発動するため、この技の効果は無効。この技は『ダイウォール』の効果も受けない。
あまごい	みず	変化	-	-	8	×	5ターンの間、天気を『あめ』にする。『みず』タイプの技のダメージが1.5倍になり、『ほのお』タイプの技のダメージが半減する。
かみなりパンチ	でんき	物理	75	100	16	○	10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
かみなり	でんき	特殊	110	70	12	×	30%の確率で相手を『まひ』状態にする。天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。
10まんボルト	でんき	特殊	90	100	16	×	10%の確率で相手を『まひ』状態にする。
はいよるいちげき	むし	物理	70	90	12	○	100%の確率で、相手の『とくこう』ランクを1段階下げる
いわなだれ	いわ	物理	75	90	12	×	相手全体が対象。30%の確率で相手をひるませる。
がんせきふうじ	いわ	物理	60	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
げんしのちから	いわ	特殊	60	100	8	×	10%の確率で自分の『こうげき』『ぼうぎょ』『とくこう』『とくぼう』『すばやさ』ランクが1段階ずつ上がる。
すなあらし	いわ	変化	-	-	8	×	5ターンの間、天気を『すなあらし』にする。『いわ』『じめん』『はがね』タイプではないポケモンは、毎ターン最大HPの1/16のダメージを受ける。また、『いわ』タイプのポケモンは『とくぼう』が1.5倍になる。
ヘドロウェーブ	どく	特殊	95	100	12	×	自分以外全員が対象。10%の確率で相手を『どく』状態にする。
ヘドロばくだん	どく	特殊	90	100	12	×	30%の確率で相手を『どく』状態にする。
アシッドボム	どく	特殊	40	100	20	×	100%の確率で相手の『とくぼう』ランクを2段階下げる。
じしん	じめん	物理	100	100	12	×	自分以外全員が対象。相手が技『あなをほる』を使っている時でも命中し、ダメージが2倍になる。『グラスフィールド』の時、威力が半減する。
じだんだ	じめん	物理	75	100	12	○	前のターンで自分が使った技が外れたり失敗したり、『まひ』『こんらん』『ひるみ』状態などで行動できなかった場合、威力が2倍になる。
じならし	じめん	物理	60	100	20	×	自分以外全員が対象。100%の確率で相手の『すばやさ』ランクを1段階下げる。『グラスフィールド』の時、威力が半減する。
マッドショット	じめん	特殊	55	95	16	×	100%の確率で相手の『すばやさ』ランクを1段階下げる。
アイススピナー	こおり	物理	80	100	16	○	場の状態『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』を解除し、元に戻す。
ふぶき	こおり	特殊	110	70	8	×	相手全体が対象。10%の確率で相手を『こおり』状態にする。天気が『ゆき』の時は必ず命中する。
れいとうビーム	こおり	特殊	90	100	12	×	10%の確率で相手を『こおり』状態にする。
ボディプレス	かくとう	物理	80	100	12	○	『こうげき』ではなく、自分の『ぼうぎょ』と『ぼうぎょ』ランクを『こうげき』の数値にしてダメージ計算する。
カウンター	かくとう	物理	-	100	20	○	相手の物理攻撃のダメージの2倍をその相手に与える。『ダブルバトル』の時は最後に受けた技のみ有効になる。必ず後攻になる(優先度:-5)。『ゴースト』タイプには無効だが、それ以外のタイプ相性の影響を受けない。
ねむる	エスパー	変化	-	-	8	×	HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になり、3ターン目で目を覚ます。
のろい	ゴースト	変化	-	-	12	×	自分のタイプが『ゴースト』タイプの時は自分のHPを最大HPの半分だけ減らして、相手を『のろい』状態にする。『のろい』状態になると毎ターン、HPが最大HPの1/4ずつ減る。それ以外のポケモンの場合『すばやさ』ランクが1段階下がり、『こうげき』『ぼうぎょ』ランクが1段階ずつ上がる。
げきりん	ドラゴン	物理	120	100	12	○	自分は『あばれ』状態となり、2~3ターン連続で攻撃し、他の行動はできない。その後1~4ターンの間『こんらん』状態になる。
ドラゴンクロー	ドラゴン	物理	80	100	16	○	通常攻撃。
ワイドブレイカー	ドラゴン	物理	60	100	16	○	相手全体が対象。100%の確率で相手の『こうげき』ランクを1段階下げる。
ドラゴンテール	ドラゴン	物理	60	90	12	○	必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。野生のポケモンの場合は戦闘を終了する。ダイマックスしている相手には追加効果は無効。
りゅうせいぐん	ドラゴン	特殊	130	90	8	×	攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
りゅうのはどう	ドラゴン	特殊	85	100	12	×	通常攻撃。
ドラゴンエール	ドラゴン	変化	-	-	16	×	自分を除く味方全体を『きゅうしょアップ』状態(急所ランク1段階)にして、今後使う技が急所に当たりやすくなる(すでに『きゅうしょアップ』状態の時は失敗する)。対象の味方が『ドラゴン』タイプの場合は、2段階上がる。音系の技。
うっぷんばらし	あく	物理	75	100	8	○	そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、場に出た時に能力ランクを下げられた場合も対象となる)。
はたきおとす	あく	物理	65	100	20	○	相手が道具を持っている場合、威力が1.5倍になり、さらに道具を持っていない状態にする。戦闘終了後、道具は元に戻る。
アイアンテール	はがね	物理	100	75	16	○	30%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
アイアンヘッド	はがね	物理	80	100	16	○	20%の確率で相手をひるませる。
ヘビーボンバー	はがね	物理	-	100	12	○	自分の『おもさ』が相手より重いほど威力が高くなる。相手の『おもさ』が自分の1/5以下なら120、1/4以下なら100、1/3以下なら80、1/2以下なら60、それより大きければ40。相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる(第7世代以降)。ダイマックスしている相手には無効。
ジャイロボール	はがね	物理	-	100	8	○	相手より『すばやさ』が低いほど威力が高くなる。(25×相手のすばやさ÷自分のすばやさ)+1が威力になる。ただし最大威力は150。小数点以下は切り捨て。
てっていこうせん	はがね	特殊	140	95	8	×	自分のHPを最大HPの半分だけ減らす。『まもる』などで技が防がれた場合も、自分のHPは減る。
ラスターカノン	はがね	特殊	80	100	12	×	10%の確率で相手の『とくぼう』ランクを1段階下げる。
たてこもる	はがね	変化	-	-	12	×	自分の『ぼうぎょ』ランクを2段階上げる。
あまえる	フェアリー	変化	-	100	20	×	相手の『こうげき』ランクを2段階下げる。

・0707

◆ クレッフィが覚える技
技名	タイプ	分類	威力	命中	PP	接触	説明
ギガインパクト	ノーマル	物理	150	90	8	○	使用した次のターンは行動できない。
とっておき	ノーマル	物理	140	100	8	○	この技は自分の持っている他の技をすべて使うと使えるようになる。
からげんき	ノーマル	物理	70	100	20	○	自分が『どく』『まひ』『やけど』状態の時、威力が2倍になる。『やけど』による『こうげき』の半減の影響を受けない。
はかいこうせん	ノーマル	特殊	150	90	8	×	使用した次のターンは行動できない。
りんしょう	ノーマル	特殊	60	100	16	×	同じターンに他のポケモンも『りんしょう』を使おうとすると、『すばやさ』に関係なく最初に使用したポケモンに続いて使用でき、最初以外の『りんしょう』は威力が2倍になる。音系の技。相手の『みがわり』状態を貫通する。(ダブルバトル用)
いびき	ノーマル	特殊	50	100	16	×	自分が『ねむり』状態の時のみ使用可能。30%の確率で相手をひるませる。音系の技。相手の『みがわり』状態を貫通する。
リサイクル	ノーマル	変化	-	-	12	×	自分が最後に使用した持ち物の道具を手に入れる。道具を持っている場合は失敗する。
